Student Id,Session 2,Session 3,Session 4,Session 5,Session 6
1,5.0,0.0,4.5,4.0,2.25
2,4.0,3.5,4.5,4.0,1.00
3,3.5,3.5,4.5,4.0,0.00
4,6.0,4.0,5.0,3.5,2.75
5,5.0,4.0,5.0,4.0,2.75
6,5.5,3.5,4.5,3.0,3.00
7,4.0,4.0,4.5,4.0,2.00
8,4.0,3.5,4.0,3.0,0.00
9,0.0,3.0,4.0,4.0,2.00
10,5.0,4.0,4.5,4.0,3.00
11,4.0,2.0,5.0,4.0,1.50
12,3.5,3.5,4.5,4.0,2.00
13,0.0,0.0,5.0,4.0,3.00
14,6.0,4.0,5.0,4.0,2.75
15,2.0,4.0,5.0,4.0,2.00
16,3.0,2.5,5.0,4.0,2.00
17,3.5,3.5,5.0,4.0,4.00
18,5.0,4.0,4.5,4.0,3.00
19,4.0,2.0,4.5,4.0,1.50
20,3.0,3.0,4.5,3.5,2.00
21,5.0,0.0,3.5,0.0,0.00
22,4.5,0.0,4.0,4.0,0.00
23,0.0,1.5,4.0,3.5,0.00
24,2.5,2.0,4.5,3.5,3.00
25,0.0,1.5,4.5,4.0,2.25
26,0.0,0.0,4.0,0.0,0.00
27,0.0,3.0,4.5,4.0,1.75
28,6.0,4.0,5.0,4.0,3.00
29,4.0,3.0,5.0,4.0,3.75
30,3.0,2.0,4.5,4.0,2.75
31,0.0,0.5,4.0,3.0,0.00
32,5.5,4.0,5.0,4.0,3.50
33,0.0,0.0,4.0,0.0,0.00
34,4.5,3.5,5.0,3.0,1.25
35,0.5,0.5,3.5,3.5,1.50
36,5.5,4.0,5.0,4.0,2.75
37,0.0,0.0,4.5,3.5,3.00
38,4.0,2.5,4.5,3.5,3.00
39,3.0,1.0,4.5,3.5,2.50
40,0.0,0.0,3.0,2.5,0.00
41,5.5,4.0,5.0,4.0,3.25
42,3.0,2.5,4.0,4.0,1.50
43,4.5,2.5,4.5,0.0,0.00
44,5.5,4.0,4.5,4.0,3.00
45,0.0,1.0,4.5,2.5,0.00
46,2.0,0.5,4.0,4.0,1.00
47,4.0,2.0,4.0,2.5,0.25
48,3.5,2.5,4.5,4.0,2.50
49,3.0,2.5,4.5,3.5,2.75
50,2.0,2.0,4.0,3.5,1.50
51,1.0,1.0,4.0,4.0,0.50
52,6.0,4.0,5.0,4.0,2.25
53,4.0,3.0,4.5,3.5,3.00
54,4.5,3.5,4.5,3.5,0.75
55,2.0,3.5,4.5,4.0,2.50
56,2.5,3.0,4.5,3.0,3.00
57,0.0,0.0,4.5,0.0,2.75
58,0.0,0.0,4.5,0.0,0.00
59,3.5,2.0,4.0,3.5,2.00
60,2.0,0.5,4.0,3.5,1.00
61,0.0,1.0,4.5,3.5,1.50
62,0.0,0.0,4.0,0.0,0.00
63,3.5,1.5,5.0,3.5,1.00
64,0.0,0.0,4.0,3.5,1.50
65,0.0,0.0,4.0,3.5,1.50
66,0.0,2.0,4.5,3.0,2.25
67,5.5,4.0,4.5,4.0,2.75
68,5.5,3.5,5.0,4.0,3.00
69,0.0,0.5,4.0,4.0,2.00
70,5.5,4.0,5.0,4.0,3.25
71,5.0,0.0,5.0,3.5,0.00
72,4.5,3.0,4.0,3.5,2.75
73,4.5,3.0,4.0,0.0,2.00
74,3.0,1.5,5.0,4.0,1.75
75,0.0,4.0,5.0,4.0,2.00
76,4.0,4.0,4.0,4.0,2.00
77,0.0,0.0,4.0,0.0,0.00
78,2.5,3.0,5.0,4.0,2.75
79,5.0,3.5,4.5,4.0,2.75
80,3.5,1.0,5.0,4.0,2.50
81,5.0,4.0,5.0,4.0,2.75
82,2.5,2.5,4.0,3.5,1.50
83,4.0,2.5,4.5,4.0,2.00
84,2.5,0.0,4.5,0.0,0.00
85,6.0,4.0,5.0,4.0,4.00
86,5.0,4.0,5.0,4.0,3.25
87,4.0,3.5,4.5,3.5,2.25
88,5.0,3.0,5.0,4.0,2.75
89,0.5,1.5,3.5,2.5,0.50
90,3.5,2.5,4.5,3.5,3.00
91,6.0,4.0,5.0,4.0,2.25
92,2.5,2.5,4.5,4.0,1.00
93,4.0,4.0,4.5,4.0,1.50
94,5.5,4.0,5.0,4.0,2.75
95,4.0,3.5,5.0,3.0,3.25
96,4.5,0.0,5.0,4.0,2.25
97,4.0,3.0,4.5,0.0,0.50
98,3.5,4.0,5.0,4.0,3.00
99,2.0,2.5,4.0,3.5,1.50
100,3.5,2.0,0.0,4.0,3.00
101,4.5,1.5,0.0,3.5,0.00
102,4.5,4.0,4.0,3.5,2.00
103,2.0,0.0,0.0,3.5,0.00
104,6.0,0.0,4.5,4.0,2.75
105,0.0,0.5,0.0,0.0,0.00
106,0.0,3.5,0.0,0.0,0.00
107,0.0,1.0,0.0,0.0,0.00
108,0.0,0.0,0.0,0.0,0.00
109,0.0,0.0,0.0,0.0,0.00
110,0.0,0.0,0.0,0.0,0.00
111,3.0,0.0,0.0,3.0,0.00
112,0.0,0.0,0.0,0.0,0.00
113,0.0,0.0,0.0,0.0,0.00
114,0.0,0.0,0.0,0.0,0.00
115,0.0,0.0,0.0,0.0,0.00
